	FRA06501_Gyp.xml	TOTAL
p	2326	2326
pb	249	249
gap	95	95
hi	26	26
div	19	19
head	16	16
ref	6	6
date	4	4
change	4	4
publisher	4	4
title	3	3
bibl	3	3
respStmt	2	2
pubPlace	2	2
resp	2	2
author	2	2
measure	2	2
name	2	2
extent	1	1
keywords	1	1
reprintCount	1	1
timeSlot	1	1
back	1	1
language	1	1
availability	1	1
fileDesc	1	1
body	1	1
authorGender	1	1
textClass	1	1
profileDesc	1	1
encodingDesc	1	1
langUsage	1	1
term	1	1
text	1	1
licence	1	1
revisionDesc	1	1
teiHeader	1	1
distributor	1	1
titleStmt	1	1
size	1	1
sourceDesc	1	1
textDesc	1	1
TEI	1	1
publicationStmt	1	1
front	1	1
TOTAL	5588	5588
